Region,Ciclo,MAE,RMSE,Bias,Dias del ciclo
Cajeme,2010-2011,1.477471453606361,1.6260054029862807,1.2997332690841648,172
Cajeme,2011-2012,1.3761100501120098,1.525835384666676,1.2094098463430976,172
Cajeme,2012-2013,1.3643533643850285,1.5296600980025055,1.226743592225524,172
Cajeme,2013-2014,1.3214717220629735,1.507211014068656,1.2028945446262018,172
Cajeme,2014-2015,1.1556167889762732,1.310749743642036,1.0307946798293712,172
Cajeme,2015-2016,1.3566243767851667,1.5349937105081157,1.2193416359691591,173
Cajeme,2016-2017,1.2754481778004914,1.4166381705625835,1.1338850479278164,172
Cajeme,2017-2018,1.2921466159053443,1.4519547048271464,1.1480069766335044,172
Cajeme,2018-2019,1.2082368874932268,1.3657574765707985,1.068486283653833,172
Cajeme,2019-2020,1.1160529895131908,1.2885029597312274,1.0013394773867959,172
Cajeme,2020-2021,1.416789642761646,1.572103536257618,1.26299296148003,172
Cajeme,2021-2022,1.3605797776759383,1.5072286076055086,1.195470843437007,172
Cajeme,2022-2023,1.3464876969803725,1.518000944761268,1.1996494365364245,172
Cajeme,2023-2024,1.3353234926010968,1.5007015926257719,1.1857930068955504,172
Ensenada,2010-2011,1.9035248439817403,2.153090796378094,1.2957143399168367,143
Ensenada,2011-2012,2.005099109995511,2.238530712873434,1.187324054076897,143
Ensenada,2012-2013,1.9457398161142843,2.1805260310794545,1.1327554211531246,143
Ensenada,2013-2014,2.0974469840780614,2.3467985701361207,1.2158429287931498,143
Ensenada,2014-2015,1.9692487217127763,2.2192486317559137,1.1473437458442142,143
Ensenada,2015-2016,2.013805394547207,2.2184169731361605,1.3195177665993978,143
Ensenada,2016-2017,1.8463885628053647,2.0607013055237915,1.0151142328676512,143
Ensenada,2017-2018,2.1885957302223558,2.4274188555484097,1.260096411533524,143
Ensenada,2018-2019,1.8344313834210229,2.039501262600378,1.143766590145781,143
Ensenada,2019-2020,2.030466274915319,2.2648108415721566,1.0380990922165636,143
Ensenada,2020-2021,2.1750174050865363,2.41443199947517,1.26832044380063,143
Ensenada,2021-2022,2.048428288037119,2.2683205604025387,1.1951636758717534,143
Ensenada,2022-2023,1.9031318489530211,2.0988491866170667,1.2600942013185226,143
Ensenada,2023-2024,1.9609142994638373,2.164374598667987,1.0860068702944934,143
Etchojoa,2010-2011,1.3917164696941025,1.5320715170756347,1.225762995331764,172
Etchojoa,2011-2012,1.3076574924663609,1.451498674035056,1.1545841439660884,172
Etchojoa,2012-2013,1.2903269892747353,1.4424798740508178,1.1657847088330435,172
Etchojoa,2013-2014,1.2428996408308468,1.4199022006289241,1.1397777539231775,172
Etchojoa,2014-2015,1.0830438199912964,1.226928100605513,0.9681353130178452,172
Etchojoa,2015-2016,1.2684451244880959,1.4357631906314565,1.1335410059483155,173
Etchojoa,2016-2017,1.2086656327511378,1.3405790980152725,1.0840954679332888,172
Etchojoa,2017-2018,1.198363764543407,1.3423390571834095,1.0609013771414677,172
Etchojoa,2018-2019,1.149061215472549,1.2852920173639424,1.0170913015328449,172
Etchojoa,2019-2020,1.0679271495341838,1.2178525197639756,0.9572651660199553,172
Etchojoa,2020-2021,1.3486636559149838,1.490117825558533,1.205357770593545,172
Etchojoa,2021-2022,1.2993790131009606,1.439012513784924,1.148260312525017,172
Etchojoa,2022-2023,1.2991278186413475,1.4590972326245235,1.1628799402283516,172
Etchojoa,2023-2024,1.2756166065378505,1.435168026094521,1.1478832475920202,172
Metepec,2010,0.9349311123073365,1.3812201519866303,-0.7253099670958877,170
Metepec,2011,0.895657295443145,1.252721368888274,-0.6713106698847864,170
Metepec,2012,0.891266693695096,1.30160011977176,-0.668639385786257,170
Metepec,2013,0.8358833758549691,1.208478272801302,-0.6495607675993967,170
Metepec,2014,0.7345155348233229,1.0330979422494182,-0.5487201179106393,170
Metepec,2015,0.7409319386936618,1.027140340268335,-0.5433493378526236,170
Metepec,2016,0.8049130661012672,1.1488969720375715,-0.6005580368720536,170
Metepec,2017,0.8178927539163895,1.1727412418017789,-0.642273592895283,170
Metepec,2018,0.826377277227651,1.1442279439214482,-0.6279670042910709,170
Metepec,2019,0.8995103020693221,1.295117259925362,-0.6863407399301338,170
Metepec,2020,0.8831460743885773,1.214368593333716,-0.665463411072491,170
Metepec,2021,0.8085322067370347,1.1808527592312046,-0.6245409599873076,170
Metepec,2022,0.9207692537541563,1.3101451724698487,-0.7235667206016251,170
Metepec,2023,0.9101120122638866,1.228006634442763,-0.667145647102628,170
Metepec,2024,0.9180267224313741,1.3349959448891138,-0.7509148397271949,170
Toluca,2010,0.9379703590558502,1.3853073684665498,-0.7275356512990706,170
Toluca,2011,0.8986049223193702,1.2565083392362058,-0.6733842480438754,170
Toluca,2012,0.8941916427328749,1.305480977825861,-0.670700010568184,170
Toluca,2013,0.8386377166287918,1.2120836065624638,-0.6515980781438819,170
Toluca,2014,0.7369668814297652,1.0362081042231681,-0.5504477356684654,170
Toluca,2015,0.7434101031949364,1.0302421758330234,-0.5450615091199846,170
Toluca,2016,0.8075795947079076,1.1523294111283995,-0.6024338569514406,170
Toluca,2017,0.8205893954209034,1.1762451683197848,-0.6442883877434679,170
Toluca,2018,0.829140392382352,1.1477270565471518,-0.6299582382060551,170
Toluca,2019,0.9024655339927306,1.298970370157503,-0.6884679700688898,170
Toluca,2020,0.8860842045018352,1.218079268429512,-0.6675657705179107,170
Toluca,2021,0.8111874878501664,1.1843528598072324,-0.6264820878207471,170
Toluca,2022,0.9237970815249555,1.3140745819078599,-0.725826979826855,170
Toluca,2023,0.9131737122175053,1.2317764908957678,-0.6692541200029302,170
Toluca,2024,0.9210169628386186,1.338995810917817,-0.7532586637217785,170
Villa de Allende,2010,0.9434471405671652,1.140775598575886,-0.9411689771382132,90
Villa de Allende,2011,0.9584968234280828,1.1394618545682829,-0.955672916118639,90
Villa de Allende,2012,0.9361216849820222,1.1140980366081592,-0.9330888495032658,90
Villa de Allende,2013,1.034054720149146,1.2428102169853557,-1.0316172645903778,90
Villa de Allende,2014,1.0078914122989686,1.180183885667069,-1.0057815305419768,90
Villa de Allende,2015,1.0277333173998078,1.1911362839928354,-1.0254177687342616,90
Villa de Allende,2016,1.0185689705822036,1.219308037940091,-1.0149859996111157,90
Villa de Allende,2017,1.0533165218073843,1.289476093998165,-1.049812536094161,90
Villa de Allende,2018,1.0518444748403097,1.2410574923858209,-1.0495837922299207,90
Villa de Allende,2019,1.0816581843070974,1.2836717875747208,-1.0793697363433896,90
Villa de Allende,2020,1.0963574928011326,1.3413936278634584,-1.0935309506543878,90
Villa de Allende,2021,0.9737701524007314,1.151132318295989,-0.9711172185574716,90
Villa de Allende,2022,1.0616590827777725,1.2657672224203043,-1.0593704679892417,90
Villa de Allende,2023,1.1965248211892328,1.5017343004458394,-1.1930127532622081,90
Villa de Allende,2024,0.9855223988813313,1.2217643932061326,-0.9830528899033256,90
Zapopan,2010,1.1428547582632875,1.643311789864056,-0.7166513697362368,161
Zapopan,2011,1.0841297894136586,1.5392347627417742,-0.6951074806472312,161
Zapopan,2012,1.0597799261261758,1.444278608985304,-0.6479156935562738,161
Zapopan,2013,0.9938284619696285,1.3988847257142496,-0.6725677557883444,161
Zapopan,2014,0.9127115088955496,1.202836985041204,-0.5593923999081539,161
Zapopan,2015,0.9548462756397675,1.2488550848357496,-0.5632075826860433,161
Zapopan,2016,1.0370120706216122,1.4290197445324806,-0.6559355467867344,161
Zapopan,2017,1.0706154123422313,1.497047919716064,-0.7085445857796835,161
Zapopan,2018,1.0119099705776302,1.4201263930917627,-0.6865719034826435,161
Zapopan,2019,1.0733011151464646,1.5198498777637035,-0.7482922330466516,161
Zapopan,2020,1.1539858068054303,1.618303322186458,-0.7263704777697784,161
Zapopan,2021,1.044101826687752,1.522784953944405,-0.6699037904640567,161
Zapopan,2022,1.0268225096115198,1.450899260394863,-0.6587179487475624,161
Zapopan,2023,1.1189046929313233,1.551041636547578,-0.7793044159551109,161
Zapopan,2024,1.1168664936520132,1.6249415072036955,-0.737270814129514,161
